Category,Filename,Title,Spectrum type,Real data or calculated model?,Image path,Image link,Big image path,Big image link,How,Source (text),Source (hyperlink),Source 2 (text),Source 2 (hyperlink),Credit,Additional Info,Notes
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Green_2,"Chokha Painting, Region G2",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Red_1,"Chokha Painting, Region R1",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Red_2,"Chokha Painting, Region R2",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_White_1,"Chokha Painting, Region W1",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Yellow_1,"Chokha Painting, Region Y1",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,Painting_1_ROI-1_ROI-2_ROI_1,"Chokha Painting, Region of Interest 1",Reflection,,Museum_Conservation/Chokha_painting_ROI1_ROI2_ROI3_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_ROI1_ROI2_ROI3_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/13zek-rEjZBzDAFfmvC9kK40OB-w1E9h2/view?usp=drive_link,,,,,,,,
Museum Conservation,Painting_1_ROI-1_ROI-2_ROI_2,"Chokha Painting, Region of Interest 2",Reflection,,Museum_Conservation/Chokha_painting_ROI1_ROI2_ROI3_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_ROI1_ROI2_ROI3_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/13zek-rEjZBzDAFfmvC9kK40OB-w1E9h2/view?usp=drive_link,,,,,,,,
Museum Conservation,F1904-134_VNIR-SWIR_colors_Blue_1,"Hokusai Painting, Region B1",Reflection,,Museum_Conservation/Hokusai_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Hokusai_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1FwTeqAAQGkUL_duaKxxhOjHvDwRzaiNd/view?usp=drive_link,,,,,,,,
Museum Conservation,F1904-134_VNIR-SWIR_colors_Blue_2,"Hokusai Painting, Region B2",Reflection,,Museum_Conservation/Hokusai_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Hokusai_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1FwTeqAAQGkUL_duaKxxhOjHvDwRzaiNd/view?usp=drive_link,,,,,,,,
Museum Conservation,F1904-134_VNIR-SWIR_colors_Green_1,"Hokusai Painting, Region G1",Reflection,,Museum_Conservation/Hokusai_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Hokusai_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1FwTeqAAQGkUL_duaKxxhOjHvDwRzaiNd/view?usp=drive_link,,,,,,,,
Museum Conservation,F1904-134_VNIR-SWIR_colors_Green_2,"Hokusai Painting, Region G2",Reflection,,Museum_Conservation/Hokusai_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Hokusai_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1FwTeqAAQGkUL_duaKxxhOjHvDwRzaiNd/view?usp=drive_link,,,,,,,,
Museum Conservation,F1904-134_VNIR-SWIR_colors_Red_1,"Hokusai Painting, Region R1",Reflection,,Museum_Conservation/Hokusai_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Hokusai_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1FwTeqAAQGkUL_duaKxxhOjHvDwRzaiNd/view?usp=drive_link,,,,,,,,
